username,team,games_played,total_eliminations,total_deaths,total_assists,total_damage,total_plants,total_defuses,avg_eliminations,avg_deaths,avg_assists,avg_damage,kd_ratio,victories,defeats,win_rate,first_seen,last_seen
DARKTRXPP,DEF,1,6,9,4,1334,0,0,6.0,9.0,4.0,1334.0,0.67,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
STAN,DEF,4,30,45,44,11274,4,0,7.5,11.25,11.0,2818.5,0.67,4,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:20:54.504051
CRIDGE,DEF,1,7,11,13,2061,0,0,7.0,11.0,13.0,2061.0,0.64,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
DUELIST,ATK,1,7,11,6,2491,0,1,7.0,11.0,6.0,2491.0,0.64,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
FREEMAN,ATK,1,7,11,6,1711,3,0,7.0,11.0,6.0,1711.0,0.64,1,0,100.0,2025-08-13T12:19:40.259309,2025-08-13T12:19:40.259309
RYNZO,DEF,1,7,11,5,1627,0,0,7.0,11.0,5.0,1627.0,0.64,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
AMDARKCEL,DEF,1,7,11,5,1529,0,0,7.0,11.0,5.0,1529.0,0.64,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
JUICETANK,DEF,1,5,8,5,1010,0,0,5.0,8.0,5.0,1010.0,0.62,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
TRIPPYPRODIGY,DEF,1,5,8,1,1209,0,1,5.0,8.0,1.0,1209.0,0.62,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
AEROS,ATK,3,16,26,15,3310,7,0,5.33,8.67,5.0,1103.33,0.62,3,0,100.0,2025-08-13T12:20:12.931233,2025-08-13T12:20:54.504051
BUBBA,ATK,1,3,5,4,671,0,1,3.0,5.0,4.0,671.0,0.6,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
TRIPZGAMING,DEF,1,4,7,9,1246,1,0,4.0,7.0,9.0,1246.0,0.57,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
VARGAS,ATK,1,4,7,2,925,0,0,4.0,7.0,2.0,925.0,0.57,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
TOSH,ATK,1,4,7,4,932,0,0,4.0,7.0,4.0,932.0,0.57,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
cautionsegirl,DEF,1,5,9,4,1388,0,0,5.0,9.0,4.0,1388.0,0.56,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
ANONYMOUS265,ATK,1,4,8,3,1742,0,1,4.0,8.0,3.0,1742.0,0.5,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
YAGIRLCADDY,ATK,1,5,11,5,988,2,0,5.0,11.0,5.0,988.0,0.45,1,0,100.0,2025-08-13T12:19:49.477809,2025-08-13T12:19:49.477809
MERMAIDMAN,ATK,1,5,11,3,1447,0,0,5.0,11.0,3.0,1447.0,0.45,1,0,100.0,2025-08-13T12:20:43.919197,2025-08-13T12:20:43.919197
SKELETO,DEF,1,4,9,2,815,0,0,4.0,9.0,2.0,815.0,0.44,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
BOMBERNOAH9997,DEF,1,3,8,4,1406,0,0,3.0,8.0,4.0,1406.0,0.38,1,0,100.0,2025-08-13T12:20:02.995972,2025-08-13T12:20:02.995972
ZNIPENASTY,DEF,1,3,9,3,954,0,0,3.0,9.0,3.0,954.0,0.33,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
NORTHKTK,DEF,1,3,9,0,591,0,1,3.0,9.0,0.0,591.0,0.33,1,0,100.0,2025-08-13T12:19:22.036063,2025-08-13T12:19:22.036063
TRULYCTRYKAY,ATK,1,3,9,3,1048,1,1,3.0,9.0,3.0,1048.0,0.33,1,0,100.0,2025-08-13T12:21:05.664574,2025-08-13T12:21:05.664574
COOKGOTME,ATK,1,2,7,1,355,3,0,2.0,7.0,1.0,355.0,0.29,1,0,100.0,2025-08-13T12:20:33.410010,2025-08-13T12:20:33.410010
JAY,DEF,1,2,8,7,1221,0,1,2.0,8.0,7.0,1221.0,0.25,1,0,100.0,2025-08-13T12:19:31.045275,2025-08-13T12:19:31.045275
GIAMPAGS,DEF,1,2,10,1,384,3,0,2.0,10.0,1.0,384.0,0.2,1,0,100.0,2025-08-13T12:21:15.596359,2025-08-13T12:21:15.596359
